fecha,temp_max,temp_min,estación
2025-09-06,19.5,7.0,PRESIDENCIA ROQUE SAENZ PEÑA AERO
2025-09-06,16.0,1.5,PUERTO DESEADO AERO
2025-09-06,19.2,-0.2,PUERTO MADRYN AERO
2025-09-06,12.5,,PUNTA INDIO B.A.
2025-09-06,16.2,2.3,RAFAELA AERO
2025-09-06,17.3,3.9,RECONQUISTA AERO
2025-09-06,18.2,4.0,RESISTENCIA AERO
2025-09-06,16.9,4.6,RIO CUARTO AERO
2025-09-06,14.4,4.8,RIO GALLEGOS AERO
2025-09-06,9.8,2.5,RIO GRANDE B.A.
2025-09-06,22.0,8.3,RIVADAVIA
2025-09-06,15.6,1.0,ROSARIO AERO
2025-09-06,18.0,6.8,SALTA AERO
2025-09-06,20.5,-2.2,SAN ANTONIO OESTE AERO
2025-09-06,14.0,1.7,SAN FERNANDO AERO
2025-09-06,19.5,2.3,SAN JUAN AERO
2025-09-06,18.8,0.9,SAN JULIAN AERO
2025-09-06,19.3,5.0,SAN LUIS AERO
2025-09-06,19.0,3.3,SAN MARTIN (MZA)
2025-09-06,18.0,0.6,SAN RAFAEL AERO
2025-09-06,18.2,1.2,SANTA CRUZ AERO
2025-09-06,18.4,1.0,SANTA ROSA AERO
2025-09-06,18.7,-1.5,SANTA ROSA DE CONLARA AERO
2025-09-06,22.7,9.1,SANTIAGO DEL ESTERO AERO
2025-09-06,17.5,3.7,SAUCE VIEJO AERO
2025-09-06,17.4,1.9,SUNCHALES AERO
2025-09-06,15.2,-3.7,TANDIL AERO
2025-09-06,22.6,9.0,TARTAGAL AERO
2025-09-06,22.7,7.5,TERMAS DE RIO HONDO AERO
2025-09-06,21.0,0.5,TINOGASTA
2025-09-06,21.5,-1.7,TRELEW AERO
2025-09-06,16.4,2.5,TRENQUE LAUQUEN
2025-09-06,16.3,-0.5,TRES ARROYOS
2025-09-06,22.0,9.1,TUCUMAN AERO
2025-09-06,7.9,4.5,USHUAIA AERO
2025-09-06,19.0,-2.8,USPALLATA
2025-09-06,15.7,0.0,VENADO TUERTO AERO
2025-09-06,20.6,3.5,VICTORICA
2025-09-06,18.3,-0.3,VIEDMA AERO
2025-09-06,18.0,-0.4,VILLA DE MARIA DEL RIO SECO
2025-09-06,20.0,2.4,VILLA DOLORES AERO
2025-09-06,13.0,-0.2,VILLA GESELL AERO
2025-09-06,21.5,-0.8,VILLA REYNOLDS AERO
2025-09-05,14.5,5.3,AEROPARQUE AERO
2025-09-05,11.8,-0.7,AZUL AERO
2025-09-05,13.1,-3.6,BAHIA BLANCA AERO
2025-09-05,13.1,-3.6,BARILOCHE AERO
2025-09-05,14.0,-22.1,BASE BELGRANO II
2025-09-05,-0.2,-2.0,BASE CARLINI (EX JUBANY)
2025-09-05,1.9,-4.2,BASE ESPERANZA
2025-09-05,-0.2,-13.2,BASE MARAMBIO
2025-09-05,-0.8,-20.8,BASE ORCADAS
2025-09-05,-0.7,-6.4,BASE SAN MARTIN
2025-09-05,10.3,-2.0,BENITO JUAREZ
2025-09-05,16.2,7.0,BERNARDO DE IRIGOYEN AERO
2025-09-05,13.8,-1.2,BOLIVAR AERO
2025-09-05,15.6,3.1,BUENOS AIRES OBSERVATORIO
2025-09-05,13.5,-2.4,CAMPO DE MAYO AERO
2025-09-05,19.5,6.4,CATAMARCA AERO
2025-09-05,15.5,5.7,CERES AERO
2025-09-05,18.5,9.0,CHAMICAL AERO
2025-09-05,14.0,-4.3,CHAPELCO AERO
2025-09-05,17.7,9.0,CHEPES
2025-09-05,13.7,7.4,CHILECITO AERO
2025-09-05,19.4,3.4,COMODORO RIVADAVIA AERO
2025-09-05,14.3,1.5,CONCORDIA AERO
2025-09-05,13.9,2.1,CORDOBA AERO
2025-09-05,13.4,5.2,CORDOBA OBSERVATORIO
2025-09-05,13.0,-2.2,CORONEL SUAREZ AERO
2025-09-05,15.5,7.7,CORRIENTES AERO
2025-09-05,12.2,2.1,DOLORES AERO
2025-09-05,16.8,-3.8,EL BOLSON AERO
2025-09-05,15.4,1.9,EL CALAFATE AERO
2025-09-05,14.0,-2.5,EL PALOMAR AERO
2025-09-05,,2.0,ESCUELA DE AVIACION MILITAR AERO
2025-09-05,14.0,-4.6,ESQUEL AERO
2025-09-05,13.5,0.2,EZEIZA AERO
2025-09-05,14.9,10.3,FORMOSA AERO
2025-09-05,15.6,-1.8,GENERAL PICO AERO
2025-09-05,17.0,0.0,GOBERNADOR GREGORES AERO
2025-09-05,13.8,2.8,GUALEGUAYCHU AERO
2025-09-05,18.5,11.5,IGUAZU AERO
2025-09-05,15.0,10.0,ITUZAINGO
2025-09-05,15.0,6.4,JACHAL
2025-09-05,13.2,10.2,JUJUY AERO
2025-09-05,9.4,6.7,JUJUY U N
2025-09-05,13.5,-0.4,JUNIN AERO
